quote_date,paper,exch,open,high,low,close,volume,value
20160513,AAPL,Nasdaq,90.00,91.67,90.00,90.52,38768830,3520969715
20160512,AAPL,Nasdaq,92.72,92.78,89.47,90.32,70052830,6340022175
20160511,AAPL,Nasdaq,93.48,93.57,92.46,92.51,24186939,2248003300
20160510,AAPL,Nasdaq,93.33,93.57,92.11,93.39,30846768,2868255229
20160509,AAPL,Nasdaq,93.00,93.77,92.59,92.82,29403852,2738432576
20160506,AAPL,Nasdaq,93.37,93.45,91.85,92.72,40229739,3722988088
20160505,AAPL,Nasdaq,94.00,94.07,92.68,93.24,30328626,2823854795
20160504,AAPL,Nasdaq,95.20,95.90,93.82,94.19,33620173,3178060509
20160503,AAPL,Nasdaq,94.20,95.74,93.68,95.18,49909687,4725112260
20160502,AAPL,Nasdaq,93.97,94.08,92.40,93.65,43978249,4096990055
20160429,AAPL,Nasdaq,93.99,94.72,92.51,93.75,61836279,5778801948
20160428,AAPL,Nasdaq,97.61,97.88,94.25,94.81,75056279,7216848635
20160427,AAPL,Nasdaq,96.00,98.71,95.68,97.82,99374049,9679972835
20160426,AAPL,Nasdaq,103.91,105.30,103.91,104.35,36128674,3775481898
20160425,AAPL,Nasdaq,105.00,105.65,104.51,105.08,23907181,2511044471
20160422,AAPL,Nasdaq,105.01,106.48,104.62,105.68,27558604,2903267952
20160421,AAPL,Nasdaq,106.93,106.93,105.52,105.97,27394095,2904660723
20160420,AAPL,Nasdaq,106.64,108.09,106.06,107.13,24255267,2604462229
20160419,AAPL,Nasdaq,107.88,108.00,106.23,106.91,28662313,3066259120
20160418,AAPL,Nasdaq,108.89,108.95,106.94,107.48,44227739,4768400517
20160415,AAPL,Nasdaq,112.11,112.30,109.73,109.85,40033773,4432551952
20160414,AAPL,Nasdaq,111.62,112.39,111.33,112.10,21602276,2417123235
20160413,AAPL,Nasdaq,110.80,112.34,110.80,112.02,29615173,3312671403
20160412,AAPL,Nasdaq,109.34,110.50,108.66,110.44,23746715,2606059709
20160411,AAPL,Nasdaq,108.97,110.61,108.83,109.04,24876770,2732229264
20160408,AAPL,Nasdaq,108.91,109.77,108.17,108.66,19866100,2164662776
20160407,AAPL,Nasdaq,109.95,110.42,108.12,108.54,25665169,2802695229
20160406,AAPL,Nasdaq,110.23,110.98,109.20,110.96,23417250,2578777536
20160405,AAPL,Nasdaq,109.51,110.73,109.42,109.81,23443276,2579632605
20160404,AAPL,Nasdaq,110.42,112.19,110.27,111.08,33491306,3730756604
20160401,AAPL,Nasdaq,108.78,110.00,108.20,109.99,22780136,2493070948
