quote_date,paper,exch,open,high,low,close,volume,value
20160513,GOOGL,Nasdaq,726.62,731.29,723.51,724.83,816211,592637937
20160512,GOOGL,Nasdaq,732.00,735.37,724.27,728.07,877592,639296493
20160511,GOOGL,Nasdaq,740.52,740.80,727.90,730.55,1000018,734895012
20160510,GOOGL,Nasdaq,734.96,740.00,731.61,739.38,1062469,783231633
20160509,GOOGL,Nasdaq,726.70,734.29,723.50,729.13,1322849,965685382
20160506,GOOGL,Nasdaq,712.20,725.99,711.95,725.18,1323789,954004393
20160505,GOOGL,Nasdaq,715.00,717.55,709.45,714.71,992350,708254498
20160504,GOOGL,Nasdaq,706.77,715.05,704.05,711.37,949056,674713046
20160503,GOOGL,Nasdaq,712.50,713.37,707.33,708.39,1342955,954049147
20160502,GOOGL,Nasdaq,711.92,715.41,706.36,714.41,1073987,763661472
20160429,GOOGL,Nasdaq,704.12,712.11,703.78,707.88,2011748,1424615069
20160428,GOOGL,Nasdaq,723.29,729.26,703.20,705.06,2192108,1568747455
20160427,GOOGL,Nasdaq,725.32,727.15,709.08,721.46,2188201,1568039095
20160426,GOOGL,Nasdaq,744.42,745.59,720.32,725.37,1950761,1424664989
20160425,GOOGL,Nasdaq,735.35,744.88,735.10,742.21,1721838,1275677887
20160422,GOOGL,Nasdaq,743.91,753.92,730.37,737.42,5041970,3722060737
20160421,GOOGL,Nasdaq,777.31,781.68,771.55,780.00,1806330,1406431298
20160420,GOOGL,Nasdaq,779.16,779.66,771.27,774.92,1187441,920733411
20160419,GOOGL,Nasdaq,790.50,790.95,770.27,776.25,1506835,1172190874
20160418,GOOGL,Nasdaq,780.19,788.55,777.61,787.68,1089878,855772323
20160415,GOOGL,Nasdaq,775.50,780.93,774.93,780.00,994576,774668746
20160414,GOOGL,Nasdaq,775.36,779.61,773.22,775.39,964416,748772945
20160413,GOOGL,Nasdaq,770.31,775.75,764.59,771.91,1251678,964433993
20160412,GOOGL,Nasdaq,758.43,764.92,751.57,764.32,960473,729367098
20160411,GOOGL,Nasdaq,765.45,767.22,757.34,757.54,1127775,860208532
20160408,GOOGL,Nasdaq,765.87,767.13,755.77,759.47,758967,577149170
20160407,GOOGL,Nasdaq,765.32,769.36,757.50,760.12,803040,612003169
20160406,GOOGL,Nasdaq,757.84,768.42,756.30,768.07,842225,643297534
20160405,GOOGL,Nasdaq,758.13,762.87,755.60,758.57,848226,644363533
20160404,GOOGL,Nasdaq,769.51,772.44,761.78,765.12,973137,744599106
20160401,GOOGL,Nasdaq,757.16,770.04,755.20,769.67,1099536,842148346
20160331,GOOGL,Nasdaq,768.34,769.08,758.25,762.90,1049185,801477916
20160330,GOOGL,Nasdaq,768.21,777.31,767.58,768.34,1456777,1124703611
20160329,GOOGL,Nasdaq,753.68,767.18,748.29,765.89,1435621,1092140782
20160328,GOOGL,Nasdaq,756.17,758.30,752.04,753.28,739095,557583907
20160324,GOOGL,Nasdaq,751.20,757.55,750.50,754.84,947020,713303122
20160323,GOOGL,Nasdaq,763.35,765.39,756.03,757.56,779898,592284432
20160322,GOOGL,Nasdaq,758.44,765.00,757.88,760.05,706460,537662820
20160321,GOOGL,Nasdaq,753.91,763.34,751.27,762.16,955791,725537903
20160318,GOOGL,Nasdaq,761.63,762.14,751.82,755.41,1931878,1462144640
20160317,GOOGL,Nasdaq,757.65,765.34,757.36,758.48,1502849,1144777122
20160316,GOOGL,Nasdaq,749.05,759.00,746.50,757.36,902090,680014821
20160315,GOOGL,Nasdaq,746.02,753.01,742.84,750.57,849390,635643690
20160314,GOOGL,Nasdaq,744.97,754.26,743.66,750.24,1130681,848305279
20160311,GOOGL,Nasdaq,739.95,744.90,736.70,744.87,1187176,880883447
20160310,GOOGL,Nasdaq,727.79,736.54,723.29,732.17,1429507,1044225849
20160309,GOOGL,Nasdaq,715.16,726.24,712.66,725.41,1235739,891985327
20160308,GOOGL,Nasdaq,708.39,722.25,704.00,713.53,1722867,1231358884
20160307,GOOGL,Nasdaq,725.15,727.21,705.14,712.80,2190261,1566604414
20160304,GOOGL,Nasdaq,734.80,735.00,725.62,730.22,1569165,1145128345
20160303,GOOGL,Nasdaq,739.48,741.00,729.63,731.59,1326663,971569423
20160302,GOOGL,Nasdaq,742.87,743.12,733.25,739.48,1146764,845860323
20160301,GOOGL,Nasdaq,721.30,742.33,718.64,742.17,2057714,1512388792
20160229,GOOGL,Nasdaq,721.00,730.60,716.84,717.22,1491457,1079077826
20160226,GOOGL,Nasdaq,733.60,736.16,721.94,724.86,1443593,1051394438
20160225,GOOGL,Nasdaq,722.93,729.51,713.23,729.12,1284503,929200881
20160224,GOOGL,Nasdaq,710.61,721.22,702.02,720.90,1216832,866027888
20160223,GOOGL,Nasdaq,726.10,730.90,715.67,717.29,1481868,1068738046
20160222,GOOGL,Nasdaq,729.51,734.85,723.45,729.05,1325474,966624488
20160219,GOOGL,Nasdaq,715.90,724.03,713.12,722.11,1112676,800995275
20160218,GOOGL,Nasdaq,733.96,736.00,715.55,717.51,1639627,1185882406
20160217,GOOGL,Nasdaq,727.00,733.76,716.61,731.97,1762747,1282860429
20160216,GOOGL,Nasdaq,718.65,722.88,710.18,717.64,1578947,1131742395
20160212,GOOGL,Nasdaq,712.21,716.00,701.58,706.89,1754011,1242233468
20160211,GOOGL,Nasdaq,696.34,712.32,691.19,706.36,2320576,1624552895
20160210,GOOGL,Nasdaq,711.79,723.22,705.39,706.85,2260643,1613153659
20160209,GOOGL,Nasdaq,692.95,720.96,688.50,701.02,3127593,2205922683
20160208,GOOGL,Nasdaq,687.68,704.52,682.01,704.16,3275574,2269645974
20160205,GOOGL,Nasdaq,725.50,726.72,700.14,703.76,4170674,2960356041
20160204,GOOGL,Nasdaq,744.59,745.24,722.60,730.03,3654242,2675619799
20160203,GOOGL,Nasdaq,786.28,791.43,736.26,749.38,4828354,3655503107
20160202,GOOGL,Nasdaq,800.50,810.35,780.60,780.91,4876021,3884758803
20160201,GOOGL,Nasdaq,771.26,777.59,761.38,770.77,2805075,2158981717
20160129,GOOGL,Nasdaq,748.96,765.11,744.20,761.35,2683620,2037175025
20160128,GOOGL,Nasdaq,738.19,751.16,730.60,748.30,2047452,1519996029
20160127,GOOGL,Nasdaq,735.89,735.89,713.45,717.58,1374922,997188136
20160126,GOOGL,Nasdaq,735.21,739.46,726.97,733.79,1035677,758721391
20160125,GOOGL,Nasdaq,743.84,752.46,732.50,733.62,1407165,1044710472
20160122,GOOGL,Nasdaq,742.00,748.56,740.50,745.46,1596900,1189787096
20160121,GOOGL,Nasdaq,720.17,737.67,711.11,726.67,1521860,1106269122
20160120,GOOGL,Nasdaq,705.90,726.95,687.78,718.56,2800987,1977667688
20160119,GOOGL,Nasdaq,720.15,725.35,709.85,719.08,1583222,1137337879
20160115,GOOGL,Nasdaq,709.99,724.16,701.51,711.19,2611786,1857271913
20160114,GOOGL,Nasdaq,724.44,739.89,705.00,731.39,1897430,1377665699
20160113,GOOGL,Nasdaq,749.34,753.00,716.78,719.57,1610910,1178748761
20160112,GOOGL,Nasdaq,740.75,748.34,736.43,745.34,1557747,1158762907
20160111,GOOGL,Nasdaq,731.95,735.08,719.56,733.07,1772728,1292207574
20160108,GOOGL,Nasdaq,747.80,750.12,728.92,730.91,1610936,1188109404
20160107,GOOGL,Nasdaq,746.49,755.31,735.28,741.00,2200083,1642032787
20160106,GOOGL,Nasdaq,750.37,765.73,748.00,759.33,1648386,1250897818
20160105,GOOGL,Nasdaq,764.10,769.20,755.65,761.53,1588337,1210718684
20160104,GOOGL,Nasdaq,762.20,762.20,747.54,759.44,2318058,1750239613
20151231,GOOGL,Nasdaq,787.82,788.33,777.32,778.01,1153122,901043489
20151230,GOOGL,Nasdaq,793.96,796.46,787.20,790.30,1002532,794157237
20151229,GOOGL,Nasdaq,786.99,798.69,786.20,793.96,1321896,1049708229
20151228,GOOGL,Nasdaq,770.00,782.82,767.73,782.24,1070136,831473728
20151224,GOOGL,Nasdaq,768.52,769.20,764.39,765.84,267379,205004960
20151223,GOOGL,Nasdaq,770.69,771.90,757.65,768.51,1077058,824096201
20151222,GOOGL,Nasdaq,764.27,770.34,761.20,767.13,1013254,775890601
20151221,GOOGL,Nasdaq,763.05,766.35,754.15,760.80,1249197,949552846
20151218,GOOGL,Nasdaq,767.23,774.14,756.59,756.85,2361741,1800372333
20151217,GOOGL,Nasdaq,781.16,781.59,769.30,769.83,1248835,967744375
20151216,GOOGL,Nasdaq,766.57,781.50,757.04,776.59,1908217,1468277515
20151215,GOOGL,Nasdaq,767.79,774.75,758.00,760.09,1703418,1304533954
20151214,GOOGL,Nasdaq,751.26,764.15,736.26,762.54,1990564,1494584674
20151211,GOOGL,Nasdaq,749.00,757.44,748.65,750.42,1444714,1087982756
20151210,GOOGL,Nasdaq,763.59,766.07,755.00,760.04,1133727,863395243
20151209,GOOGL,Nasdaq,771.10,776.09,752.01,762.55,1521166,1159565374
20151208,GOOGL,Nasdaq,764.50,778.65,762.52,775.14,887962,685417838
20151207,GOOGL,Nasdaq,780.06,781.00,766.72,772.99,1195233,923281156
20151204,GOOGL,Nasdaq,769.71,782.42,765.51,779.21,1494720,1162731404
20151203,GOOGL,Nasdaq,780.56,784.48,762.45,768.20,1407320,1085069712
20151202,GOOGL,Nasdaq,785.25,793.05,776.43,777.85,1699105,1330645996
20151201,GOOGL,Nasdaq,766.94,785.00,765.95,783.79,1377883,1074195594
20151130,GOOGL,Nasdaq,771.87,775.03,761.12,762.85,1118600,856359955
20151127,GOOGL,Nasdaq,769.16,774.00,767.00,771.97,492254,379388648
20151125,GOOGL,Nasdaq,771.69,773.00,766.53,769.26,841851,648072992
20151124,GOOGL,Nasdaq,772.96,775.99,758.11,769.63,1723165,1322978990
